DATE/TICKER,1MUSY,1YCAY,2YAUY,2YINY,huohuf1y,huohuf2m,huohuf2w,huohuf3m,huohuf6m,huohuf9m,plbpln3m,plbpln6m,plopln1m,plopln1w,plopln1y,plopln2w,plopln3m,plopln6m,ploplnon,ploplntn,,,,
20160101,,,2.027,7.338,,,,,,,,,,,,,,,,,,,,
20160104,0.183,0.485,2.016,7.336,1.35,1.35,1.35,1.38,1.35,1.35,1.52,1.65,1.57,1.79,1.6,1.64,1.72,1.77,1.57,1.58,,,,
20160105,0.211,0.475,1.991,7.342,1.35,1.36,1.35,1.36,1.35,1.35,1.52,1.65,1.57,1.79,1.6,1.63,1.72,1.77,1.43,1.49,,,,
20160106,0.214,0.445,1.988,7.319,1.35,1.35,1.35,1.35,1.35,1.35,,,,,,,,,,,,,,
20160107,0.203,0.435,1.959,7.274,1.35,1.35,1.35,1.33,1.35,1.35,1.52,1.65,1.57,1.79,1.6,1.63,1.72,1.77,1.4,1.55,,,,
20160108,0.203,0.435,2.012,7.305,1.35,1.35,1.35,1.33,1.35,1.35,1.52,1.64,1.57,1.79,1.59,1.62,1.72,1.77,1.54,1.56,,,,
20160111,0.188,0.405,1.981,7.289,1.35,1.35,1.35,1.33,1.35,1.35,1.52,1.64,1.57,1.79,1.59,1.62,1.72,1.77,1.56,1.57,,,,
20160112,0.203,0.38,2.012,7.266,1.35,1.35,1.35,1.34,1.35,1.35,1.51,1.64,1.56,1.79,1.59,1.62,1.71,1.76,1.56,1.57,,,,
20160113,0.219,0.355,2.025,7.272,1.35,1.35,1.35,1.34,1.35,1.35,1.51,1.63,1.56,1.78,1.59,1.61,1.71,1.76,1.55,1.57,,,,
20160114,0.214,0.34,1.967,7.277,1.35,1.34,1.35,1.34,1.35,1.35,1.5,1.63,1.56,1.77,1.59,1.6,1.7,1.76,1.55,1.58,,,,
20160115,0.191,0.295,1.972,7.287,1.35,1.34,1.35,1.34,1.35,1.35,1.5,1.62,1.55,1.77,1.59,1.6,1.7,1.75,1.58,1.58,,,,
20160118,0.193,0.305,1.924,7.278,1.35,1.35,1.35,1.32,1.35,1.35,1.5,1.62,1.55,1.77,1.59,1.6,1.7,1.75,1.58,1.58,,,,
20160119,0.206,0.305,1.923,7.261,1.35,1.35,1.35,1.32,1.35,1.35,1.5,1.62,1.55,1.77,1.59,1.6,1.7,1.75,1.58,1.58,,,,
20160120,0.226,0.41,1.93,7.26,1.35,1.35,1.35,1.35,1.35,1.35,1.5,1.62,1.55,1.77,1.58,1.6,1.7,1.75,1.18,1.32,,,,
20160121,0.264,0.445,1.958,7.258,1.35,1.35,1.35,1.42,1.35,1.35,1.5,1.61,1.55,1.77,1.57,1.59,1.7,1.75,1.11,1.44,,,,
20160122,0.249,0.46,1.963,7.26,1.35,1.35,1.35,1.41,1.35,1.35,1.5,1.61,1.55,1.77,1.55,1.58,1.7,1.75,1.31,1.38,,,,
20160125,0.247,0.45,1.966,7.279,1.35,1.35,1.35,1.4,1.35,1.35,1.5,1.61,1.55,1.77,1.55,1.58,1.7,1.75,1.56,1.56,,,,
20160126,0.262,0.46,1.913,,1.35,1.35,1.35,1.37,1.35,1.35,1.5,1.6,1.55,1.77,1.56,1.58,1.7,1.75,1.78,1.76,,,,
20160127,0.285,0.455,1.942,7.278,1.35,1.35,1.35,1.35,1.35,1.35,1.5,1.6,1.55,1.77,1.57,1.58,1.7,1.75,1.8,1.8,,,,
20160128,0.242,0.46,1.958,7.276,1.35,1.35,1.35,1.36,1.35,1.35,1.5,1.6,1.55,1.77,1.56,1.58,1.7,1.75,1.79,1.68,,,,
20160129,0.224,0.445,1.922,7.273,1.35,1.35,1.35,1.38,1.35,1.35,1.5,1.6,1.55,1.77,1.56,1.58,1.7,1.75,1.61,1.61,,,,
20160201,0.186,0.45,1.89,7.308,1.35,1.35,1.35,1.36,1.35,1.35,1.5,1.6,1.55,1.77,1.56,1.58,1.7,1.75,1.53,1.54,,,,
20160202,0.211,0.425,1.906,7.307,1.35,1.35,1.35,1.37,1.35,1.35,1.5,1.6,1.55,1.77,1.55,1.57,1.7,1.75,1.45,1.46,,,,
20160203,0.31,0.43,1.838,7.32,1.35,1.35,1.35,1.36,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.49,1.5,,,,
20160204,0.239,0.43,1.885,7.303,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.5,1.52,,,,
20160205,0.226,0.43,1.868,7.299,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.55,1.56,,,,
20160208,0.211,0.405,1.888,7.391,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.5,1.51,,,,
20160209,0.252,0.415,1.768,7.386,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.44,1.46,,,,
20160210,0.28,0.42,1.773,7.38,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.55,1.77,1.55,1.57,1.69,1.75,1.43,1.44,,,,
20160211,0.269,0.395,1.749,7.375,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.43,1.51,,,,
20160212,0.257,0.43,1.786,7.373,1.35,1.35,1.35,1.34,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.54,1.55,,,,
20160215,0.254,0.43,1.862,7.393,1.35,1.35,1.35,1.35,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.53,1.54,,,,
20160216,0.219,0.45,1.912,7.403,1.35,1.35,1.35,1.34,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.56,1.56,,,,
20160217,0.28,0.465,1.882,7.418,1.35,1.35,1.35,1.34,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.56,1.56,,,,
20160218,0.28,0.46,1.882,7.411,1.35,1.35,1.35,1.33,1.35,1.35,1.49,1.59,1.54,1.76,1.55,1.57,1.69,1.74,1.55,1.55,,,,
20160219,0.262,0.46,1.825,,1.35,1.35,1.35,1.33,1.35,1.35,1.49,1.58,1.54,1.76,1.53,1.56,1.69,1.74,1.38,1.44,,,,
20160222,0.275,0.47,1.844,7.436,1.35,1.34,1.35,1.34,1.34,1.35,1.49,1.57,1.54,1.76,1.51,1.55,1.69,1.74,1.2,1.28,,,,
20160223,0.257,0.485,1.834,7.487,1.35,1.32,1.35,1.34,1.33,1.34,1.48,1.57,1.54,1.76,1.5,1.55,1.68,1.74,1.2,1.24,,,,
20160224,0.282,0.49,1.812,7.564,1.35,1.32,1.35,1.33,1.33,1.34,1.48,1.57,1.54,1.76,1.49,1.54,1.68,1.74,1.19,1.22,,,,
20160225,0.267,0.49,1.795,7.703,1.35,1.32,1.35,1.31,1.33,1.34,1.48,1.57,1.54,1.76,1.48,1.54,1.68,1.74,1.02,1.37,,,,
20160226,0.252,0.5,1.78,7.615,1.35,1.31,1.35,1.31,1.31,1.32,1.48,1.57,1.54,1.76,1.49,1.54,1.68,1.74,1.43,0.82,,,,
20160229,0.234,0.495,1.779,7.433,1.35,1.3,1.34,1.32,1.31,1.32,1.48,1.56,1.54,1.76,1.5,1.54,1.68,1.74,0.74,1.47,,,,
20160301,0.239,0.51,1.743,7.412,1.35,1.3,1.34,1.32,1.31,1.32,1.48,1.56,1.54,1.76,1.51,1.54,1.68,1.74,1.49,1.49,,,,
20160302,0.294,0.52,1.868,7.422,1.35,1.3,1.34,1.35,1.31,1.33,1.48,1.56,1.54,1.76,1.51,1.54,1.68,1.74,1.47,1.47,,,,
20160303,0.243,0.52,1.924,7.458,1.35,1.3,1.34,1.35,1.31,1.33,1.47,1.56,1.54,1.76,1.51,1.54,1.67,1.74,1.47,1.51,,,,
20160304,0.251,0.52,1.958,7.462,1.35,1.3,1.34,1.34,1.31,1.33,1.47,1.56,1.54,1.76,1.51,1.54,1.67,1.74,1.54,1.54,,,,
20160305,,,,,1.35,1.3,1.34,1.34,1.31,1.33,,,,,,,,,,,,,,
